Site_ID,Lat,Lon,Total_Facilities,Diversity_Index,Facility_Types_List,Subtype_Diversity
1206461,51.33174,1.311959,4,3,"5, 5, 8, 17",4
1206462,51.74334,-2.248934,2,1,"5, 5",2
1206463,52.79644,0.472085,2,1,"5, 5",2
1206464,52.59139,0.3825251,5,1,"5, 5, 5, 5, 5",5
1206465,51.69386,-2.489032,4,2,"5, 5, 5, 6",4
1206467,52.85979,0.6259859,1,1,5,1
1206468,51.76505,-0.09841242,1,1,5,1
1206469,52.96436,0.6446026,3,2,"5, 5, 17",3
1206472,51.86497,-2.207243,4,1,"5, 5, 5, 5",4
1206475,52.9574,0.5436733,1,1,5,1
1206477,51.95287,-2.301096,3,1,"5, 5, 5",3
1206478,50.81181,-1.17003,1,1,5,1
1206479,52.7751,0.5196047,1,1,5,1
1206480,51.72255,-2.531687,7,2,"5, 5, 5, 5, 5, 5, 17",7
1206481,52.61924,0.3906655,1,1,5,1
1206483,51.94994,-0.02472209,2,1,"5, 5",2
1206485,52.71349,0.4107884,5,3,"5, 5, 5, 6, 17",5
1206486,52.63657,0.3823184,1,1,5,1
1206487,51.38284,1.418667,2,1,"5, 5",2
1206488,51.79068,-0.08426957,1,1,5,1
1206491,52.27225,0.818919,1,1,5,1
1206492,52.52754,0.3835047,1,1,5,1
1206493,51.36884,1.429743,2,1,"5, 5",2
1206494,52.13594,0.6060024,3,2,"5, 5, 6",3
1206496,52.65262,0.3978574,2,1,"5, 5",2
1206497,50.15796,-5.09527,11,6,"2, 5, 5, 5, 5, 5, 6, 6, 8, 12, 17",11
1206498,54.8581,-1.517411,4,2,"5, 5, 17, 17",3
1206499,51.19644,0.269778,9,2,"5, 5, 5, 5, 5, 5, 5, 5, 17",7
1206500,54.85242,-1.572179,1,1,5,1
1206503,51.20995,0.2700661,4,2,"5, 5, 5, 8",4
1206504,54.77228,-1.562058,1,1,5,1
1206506,54.84897,-1.562217,1,1,5,1
1206509,54.81848,-1.596624,1,1,5,1
1206510,52.54683,1.47813,1,1,5,1
1206511,50.10691,-5.273556,6,3,"2, 5, 5, 6, 6, 6",5
1206513,54.81852,-1.628802,2,2,"6, 8",2
1206514,50.23039,-5.271546,9,5,"2, 5, 5, 5, 5, 6, 6, 8, 12",9
1206515,51.78526,-0.002830513,5,2,"5, 5, 5, 17, 17",3
1206516,50.23447,-5.238557,12,5,"2, 5, 5, 5, 5, 5, 5, 5, 6, 6, 7, 12",12
1206517,50.21408,-5.312209,14,6,"2, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 8, 12, 17",13
1206519,50.0253,-5.237635,7,4,"2, 5, 5, 5, 5, 6, 12",7
1206520,50.22958,-5.277584,5,5,"2, 5, 6, 8, 12",5
1206521,50.18479,-5.410697,10,4,"2, 5, 5, 5, 5, 5, 5, 6, 6, 17",9
1206522,51.11432,0.271948,6,1,"5, 5, 5, 5, 5, 5",6
1206523,51.11501,0.260022,2,1,"5, 5",2
1206524,51.14787,0.2634072,3,1,"5, 5, 5",3
1206525,51.81064,0.148416,4,2,"5, 17, 17, 17",2
1206526,51.12164,0.2675397,4,2,"5, 5, 17, 17",3
1206527,51.83778,-0.03415683,2,1,"5, 5",2
1206528,51.67639,-0.3108783,5,2,"2, 5, 5, 5, 5",4
1206529,50.12809,-5.55711,14,8,"2, 4, 5, 5, 5, 5, 5, 6, 6, 6, 8, 12, 17, 20",13
1206530,50.12504,-5.683755,6,3,"5, 5, 5, 5, 6, 17",6
1206531,50.12468,-5.543798,4,3,"2, 6, 6, 8",3
1206533,52.53904,1.253985,2,1,"5, 5",2
1206534,52.59785,1.175846,7,2,"5, 5, 5, 5, 5, 5, 20",7
1206535,51.27657,1.334734,2,1,"5, 5",2
1206536,52.57583,1.130906,6,3,"5, 5, 5, 5, 8, 17",6
1206538,50.33848,-4.891424,11,5,"2, 5, 5, 5, 5, 5, 6, 6, 6, 8, 12",10
1206539,52.60304,1.249655,6,2,"5, 5, 5, 5, 17, 17",5
1206540,52.56201,1.238416,1,1,5,1
