Site ID,Facility Type,Facility Subtype,Facility ID,Freestyle Features,Moguls,Tow,Slope Type,Surface Type,Artificial Sports Lighting,Skiable Length,Skiable Width,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011583,11,11001,2009126,3,0,1,10,21,1,80.0,15.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,0,1,1,1,1,1,1,1,1,1,0,Have Steps going down towards the slopes. ,1972,0,0,,1,0,,2,1,1,12,,,2025-07-30 12:31:08,1,559003,191244,51.5976,0.2942997,
1011602,11,11001,2009182,3,0,1,1,21,1,45.0,15.0,3,,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,1,0,,2000,0,1,2005,0,0,,2,1,1,12,,,2025-04-07 07:36:45,1,409315,427173,53.74087,-1.860255,
1011602,11,11001,2009183,1,1,1,3,20,1,100.0,25.0,3,,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,1,0,,2000,0,1,2005,0,0,,2,1,1,12,,,2025-04-07 07:36:45,1,409315,427173,53.74087,-1.860255,
1011604,11,11001,2009187,3,0,1,1,20,1,45.0,32.0,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,1,0,,1968,0,1,2004,1,1,2019,2,1,1,12,,,2025-01-15 16:26:20,1,624903,307075,52.61487,1.320748,
1011604,11,11001,2009188,1,0,1,3,21,1,160.0,40.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1977,0,1,1996,1,1,2005,2,1,1,12,,,2025-01-15 16:26:20,1,624903,307075,52.61487,1.320748,
1011604,11,11001,2009189,3,1,1,10,20,1,40.0,10.0,3,Dedicated mogul section next to main slope.,,,,Pay and Play,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,1,0,,1968,0,1,2010,1,1,2019,2,1,1,12,,,2025-01-15 16:26:20,1,624903,307075,52.61487,1.320748,
1011606,11,11002,2009192,3,0,1,2,22,0,100.0,50.0,3,,,,,Registered Membership use,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,2,,1955,0,0,,0,0,,2,2,11,3,,,2025-07-21 12:07:56,1,385341,546118,54.80972,-2.229594,
1011617,11,11001,2009229,3,0,1,1,21,1,30.0,8.0,3,,Places Leisure,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,0,1,1,0,,1973,0,1,2003,0,0,,2,1,1,12,,,2025-04-04 14:01:38,1,441099,116056,50.94248,-1.416388,
1011617,11,11001,2009230,3,0,1,2,21,1,80.0,20.0,3,,Places Leisure,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,0,1,1,0,,1973,0,1,2003,0,0,,2,1,1,12,,,2025-04-04 14:01:38,1,441099,116056,50.94248,-1.416388,
1011617,11,11001,2009231,3,0,1,3,21,1,120.0,10.0,3,,Places Leisure,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,0,1,1,0,,1973,0,1,2003,0,0,,2,1,1,12,,,2025-04-04 14:01:38,1,441099,116056,50.94248,-1.416388,
