Site ID,Facility Type,Facility Subtype,Facility ID,Courts,Surface Type,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Operational Status Notes,Operational Status,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1000495,4,4002,2026014,2,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1999,1,2010,1,1,2011,2,1,1,12,,,2025-01-14 10:56:47,1,370959,409438,53.58074,-2.440102,
1000495,4,4004,2026015,5,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1999,1,2010,1,1,2011,2,1,1,12,,,2025-01-14 10:56:47,1,370959,409438,53.58074,-2.440102,
1004828,4,4004,2026022,8,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2003,1,2013,1,0,,2,1,1,12,,,2025-11-27 16:44:18,1,376987,164739,51.38123,-2.332056,
1013913,4,4001,2026023,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,1,1,0,2 Disabled Bays,2000,0,,1,1,2002,2,1,1,12,,,2026-01-08 13:37:49,1,183509,62214,50.41979,-5.048982,
1037971,4,4004,2026024,3,3,2,2,2,2,2,2,,3,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,1,IFI Accredited.,1986,1,1999,1,0,,2,1,1,12,,,2025-09-03 13:07:06,1,414506,279399,52.41242,-1.788158,
1013935,4,4004,2026025,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,0,0,0,1,0,0,,1988,1,2005,1,1,2012,2,1,1,12,,,2025-01-27 09:42:28,1,411769,294760,52.55058,-1.827857,
1013936,4,4001,2026026,2,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2005,0,,1,0,,2,1,1,12,,,2024-12-04 08:23:42,1,367889,430385,53.76883,-2.48864,
1013937,4,4003,2026027,2,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,1,0,0,0,0,,1993,0,,0,0,,2,1,1,12,,,2024-09-11 10:26:54,1,372866,441514,53.86913,-2.414121,
1013904,4,4002,2026028,3,1,2,2,2,2,2,2,Covered from October to April,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,0,1,1,1,1,2,,1992,1,2007,1,1,2010,2,1,1,12,,,2025-03-26 10:18:53,1,408100,91500,50.72306,-1.886606,
1013934,4,4001,2026030,2,4,2,2,2,2,2,2,,5,,,,Private Use,Private,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1986,1,2008,1,1,2008,2,1,1,12,2020-09-27,101,2023-02-20 09:48:34,1,402567,79501,50.6152,-1.965071,
1013930,4,4004,2026033,2,5,2,2,2,2,2,2,,5,,,,Private Use,Private,Not Known,Not Known,1,0,1,1,1,1,0,1,0,1,0,,1977,1,2000,0,0,,1,1,1,12,2009-01-01,999,2023-10-04 15:37:12,1,565513,111857,50.8825,0.3515427,
1005919,4,4004,2026034,4,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,1996,1,2015,1,0,,2,1,1,12,,,2025-12-23 12:52:15,1,545984,256413,52.18666,0.1340419,
1004720,4,4004,2026035,6,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,1,1,0,,1994,1,2011,1,1,2023,2,1,1,12,,,2025-09-24 13:00:47,1,328924,390589,53.40733,-3.070623,
1013931,4,4001,2026036,1,3,2,2,2,2,2,2,,3,,,,Private Use,Private,School/College/University (in house),Education,1,1,1,1,1,1,0,0,0,1,0,,1990,1,2013,1,1,2004,2,1,1,12,,,2025-07-23 13:59:30,1,535990,154822,51.27632,-0.05171171,
1000029,4,4002,2026039,2,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1996,1,2009,1,1,2009,2,1,1,12,,,2025-10-15 19:17:37,1,547225,171391,51.42242,0.1161054,
1013908,4,4004,2026043,2,1,2,2,2,2,2,2,,3,,,,Private Use,Private,School/College/University (in house),Education,1,1,1,1,1,0,1,0,1,1,2,,1989,1,2004,1,1,2018,2,1,1,12,,,2024-10-31 14:34:13,1,430036,327134,52.84091,-1.555518,
1013861,4,4004,2026045,1,5,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,0,,2003,0,,1,0,,3,1,1,12,2014-02-01,999,2023-08-09 09:41:39,1,265554,120340,50.96674,-3.916058,
1000261,4,4001,2026047,2,3,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,1,1,0,1,2,,2007,0,,1,1,2009,2,1,1,12,2020-03-16,101,2022-01-11 16:11:24,1,391260,216302,51.84525,-2.128269,
1010793,4,4004,2026049,6,5,2,2,2,2,2,2,,5,,,,Registered Membership use,Public Access,Commercial Management,Commercial,0,0,0,0,0,0,0,0,0,0,0,,1991,1,2006,1,1,2006,2,1,1,12,2020-11-05,101,2022-04-25 16:29:04,1,485709,135718,51.11435,-0.7769082,
